bearID,Seal,Beluga,Walrus,Bodycond,Sex,Ageclass,Year,Era,Region,Lat,Long
BEAR0371,23.04,72.49,4.48,90.99,F,Subadult,2008,Late,West,69.71,-132.58
BEAR0372,31.49,68.51,0,85.64,M,Subadult,2008,Late,West,69.47,-130.86
BEAR0373,29.29,70.71,0,96.99,M,Subadult,2008,Late,West,69.88,-133.84
BEAR0374,66.86,8.86,24.29,69.1,M,Adult,2008,Late,West,70.15,-126.98
BEAR0375,23.48,76.44,0.08,76.9,F,Subadult,2008,Late,West,70.15,-126.98
BEAR0376,94.83,0,5.18,68.63,F,Adult,2008,Late,North,73.55,-114.82
BEAR0377,54.41,45.59,0,65.86,M,Adult,2008,Late,North,73.12,-112.81
BEAR0379,34.17,64.71,1.12,82.26,M,Cub,2008,Late,North,73.55,-114.82
BEAR0380,25.51,72.36,2.13,81.17,M,Cub,2008,Late,West,69.14,-137.77
BEAR0387,35.36,60.85,3.79,83.57,M,Subadult,2004,Mid,Central,71,-119
BEAR0390,62.3,34.22,3.48,75.69,M,Adult,2004,Mid,Central,71.25,-121
BEAR0391,65.79,28,6.21,82.99,M,Cub,2004,Mid,Central,71.35,-117.88
BEAR0397,63.38,36.63,0,74.57,F,Cub,2004,Mid,Central,71.33,-121.97
BEAR0398,39.06,51.4,9.55,72.28,M,Adult,2004,Mid,Central,71.3,-121.97
BEAR0399,52.05,47.95,0,63.32,F,Cub,2004,Mid,North,73.25,-115.75
BEAR0401,57.31,42.69,0,77.13,F,Cub,2004,Mid,North,73.35,-115.07
BEAR0403,66.91,22.87,10.22,86.3,M,Adult,2004,Mid,West,70.1,-124.18
BEAR0405,39.72,60.28,0,78.8,M,Adult,2004,Mid,West,69.93,-132.83
BEAR0406,40.65,54.44,4.91,71.14,M,Adult,2004,Mid,West,70.2,-127.07
BEAR0407,57.43,36.31,6.26,82.96,M,Adult,2004,Mid,West,70.67,-128.17
BEAR0410,35.01,64.99,0,82.18,M,Adult,2004,Mid,Central,71.22,-122.37
BEAR0412,31.95,68.05,0,78.17,F,Subadult,2004,Mid,Central,71.22,-122.47
BEAR0413,84.8,10.17,5.04,79.33,M,Adult,2004,Mid,Central,71.85,-125.18
BEAR0448,89.54,2.67,7.79,74.2,M,Adult,2010,Late,Central,71.92,-126.21
BEAR0463,37.76,61.01,1.23,71.03,M,Subadult,2007,Mid,Central,70.33,-125.67
BEAR0464,77.22,16.87,5.9,78.95,M,Adult,2007,Mid,Central,70.5,-124.33
BEAR0465,44.6,49.71,5.69,59.41,M,Subadult,2007,Mid,Central,70.58,-122.98
BEAR0469,30.54,69.46,0,75.9,M,Adult,2007,Mid,Central,70.2,-117.72
BEAR0470,77.4,3.56,5.53,58.58,M,Adult,2007,Mid,Central,70.32,-117.5
BEAR0477,50.84,43.57,5.59,93.68,M,Cub,2009,Late,Central,70.33,-117.35
BEAR0479,60.4,33.08,6.52,63.3,M,Cub,2009,Late,Central,70.33,-117.42
BEAR0490,25.91,73.76,0.34,92.07,F,Subadult,2009,Late,Central,69.9,-123.32
BEAR0492,30.71,66.61,2.68,97.96,M,Cub,2009,Late,Central,71.99,-125.25
BEAR0499,31.47,68.53,0,89.31,F,Adult,2006,Mid,West,69.96,-132.14
BEAR0500,51.79,43.17,5.04,80.49,M,Cub,2006,Mid,West,70.51,-127.81
